STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,UKR,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2016,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,0.7924846441045406,A,Annual,Ukraine,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARE,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2016,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,21.834288692027098,A,Annual,United Arab Emirates,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TJK,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2014,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,21.96472739004194,A,Annual,Tajikistan,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,JPN,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2014,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,32.299794661190965,A,Annual,Japan,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,JOR,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2014,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,9.868421052631579,A,Annual,Jordan,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,KAZ,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2014,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,0.7850113976330193,A,Annual,Kazakhstan,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,KGZ,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2014,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,9.501662388345284,A,Annual,Kyrgyz Republic,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,HUN,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2016,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,1.8496781522150703,A,Annual,Hungary,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IND,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2016,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,37.476751049683145,A,Annual,India,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IRN,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2016,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,16.57962310136223,A,Annual,"Iran, Islamic Rep.",Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
